"","campo","code","name","percent"
"93","Educación primaria","42","Empleados de bibliotecas, servicios de correos y afines",0.21
"94","Educación primaria","93","Ayudantes de preparación de alimentos",0.21
"95","Educación primaria","61","Trabajadores cualificados en actividades agrícolas",0.2
"96","Educación primaria","24","Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",0.17
"97","Educación primaria","15","Directores y gerentes de otras empresas de servicios no clasificados bajo otros epígrafes",0.16
"98","Educación primaria","94","Recogedores de residuos urbanos, vendedores callejeros y otras ocupaciones elementales en
servicios",0.15
"99","Educación primaria","95","Peones agrarios, forestales y de la pesca",0.14
"100","Educación primaria","36","Profesionales de apoyo a la gestión administrativa; técnicos de las fuerzas y cuerpos de
seguridad",0.12
"101","Educación primaria","58","Trabajadores de los servicios personales",0.12
"102","Educación primaria","96","Peones de la construcción y de la minería",0.12
"103","Educación primaria","25","Profesionales en derecho",0.1
"104","Educación primaria","38","Técnicos de las tecnologías de la información y las comunicaciones (tic)",0.1
"105","Educación primaria","00","Ocupaciones militares",0.06
"106","Educación primaria","78","Trabajadores de la madera, textil, confección, piel, cuero, calzado y otros operarios en oficios",0.05
"107","Educación primaria","82","Montadores y ensambladores en fábricas",0.04
"108","Educación primaria","81","Operadores de instalaciones y maquinaria fijas",0.02
"109","Otros maestros","22","Profesionales de la enseñanza infantil, primaria, secundaria y postsecundaria",45.47
"110","Otros maestros","23","Otros profesionales de la enseñanza",12.81
"111","Otros maestros","37","Profesionales de apoyo de servicios jurídicos, sociales, culturales, deportivos y afines",7.23
"112","Otros maestros","29","Profesionales de la cultura y el espectáculo",5.29
"113","Otros maestros","13","Directores de producción y operaciones",4.94
"114","Otros maestros","21","Profesionales de la salud",3.84
"115","Otros maestros","51","Trabajadores asalariados de los servicios de restauración",3
"116","Otros maestros","44","Empleados de agencias de viajes, recepcionistas y telefonistas; empleados de ventanilla y
afines (excepto taquilleros)",2.29
"117","Otros maestros","92","Otro personal de limpieza",1.93
"118","Otros maestros","57","Otros trabajadores de los cuidados a las personas",1.91
"119","Otros maestros","56","Trabajadores de los cuidados a las personas en servicios de salud",1.87
"120","Otros maestros","83","Maquinistas de locomotoras, operadores de maquinaria agrícola y de equipos pesados
móviles, y marineros",1.71
"121","Otros maestros","15","Directores y gerentes de otras empresas de servicios no clasificados bajo otros epígrafes",1.67
"122","Otros maestros","52","Dependientes en tiendas y almacenes",1.57
"123","Otros maestros","38","Técnicos de las tecnologías de la información y las comunicaciones (tic)",1.48
"124","Otros maestros","43","Otros empleados administrativos sin tareas de atención al público",1.33
"125","Otros maestros","28","Profesionales en ciencias sociales",0.59
"126","Otros maestros","75","Trabajadores especializados en electricidad y electrotecnología",0.56
"127","Otros maestros","58","Trabajadores de los servicios personales",0.49
"128","Educación social","28","Profesionales en ciencias sociales",43.68
"129","Educación social","22","Profesionales de la enseñanza infantil, primaria, secundaria y postsecundaria",13.65
"130","Educación social","37","Profesionales de apoyo de servicios jurídicos, sociales, culturales, deportivos y afines",13.3
"131","Educación social","23","Otros profesionales de la enseñanza",5.27
"132","Educación social","57","Otros trabajadores de los cuidados a las personas",2.56
"133","Educación social","26","Especialistas en organización de la administración pública y de las empresas y en la
comercialización",2.17
"134","Educación social","13","Directores de producción y operaciones",2.11
"135","Educación social","56","Trabajadores de los cuidados a las personas en servicios de salud",1.67
"136","Educación social","52","Dependientes en tiendas y almacenes",1.63
"137","Educación social","43","Otros empleados administrativos sin tareas de atención al público",1.27
"138","Educación social","35","Representantes, agentes comerciales y afines",1.25
"139","Educación social","44","Empleados de agencias de viajes, recepcionistas y telefonistas; empleados de ventanilla y
afines (excepto taquilleros)",1.13
"140","Educación social","21","Profesionales de la salud",1.04
"141","Educación social","51","Trabajadores asalariados de los servicios de restauración",0.93
"142","Educación social","84","Conductores de vehículos para el transporte urbano o por carretera",0.89
"143","Educación social","45","Empleados administrativos con tareas de atención al público no clasificados bajo otros
epígrafes",0.85
"144","Educación social","61","Trabajadores cualificados en actividades agrícolas",0.84
"145","Educación social","95","Peones agrarios, forestales y de la pesca",0.84
"146","Educación social","41","Empleados en servicios contables, financieros, y de servicios de apoyo a la producción y al
transporte",0.78
"147","Educación social","11","Miembros del poder ejecutivo y de los cuerpos legislativos; directivos de la administración
pública y organizaciones de interés social; directores ejecutivos",0.77
"148","Educación social","74","Mecánicos y ajustadores de maquinaria",0.74
"149","Educación social","15","Directores y gerentes de otras empresas de servicios no clasificados bajo otros epígrafes",0.6
"150","Educación social","54","Vendedores (excepto en tiendas y almacenes)",0.39
"151","Educación social","12","Directores de departamentos administrativos y comerciales",0.38
"152","Educación social","58","Trabajadores de los servicios personales",0.34
"153","Educación social","93","Ayudantes de preparación de alimentos",0.33
"154","Educación social","29","Profesionales de la cultura y el espectáculo",0.21
"155","Educación social","24","Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",0.19
"156","Educación social","92","Otro personal de limpieza",0.19
"157","Audiovisual, imagen y multimedia","29","Profesionales de la cultura y el espectáculo",18.17
"158","Audiovisual, imagen y multimedia","38","Técnicos de las tecnologías de la información y las comunicaciones (tic)",11.06
"159","Audiovisual, imagen y multimedia","26","Especialistas en organización de la administración pública y de las empresas y en la
comercialización",9.13
"160","Audiovisual, imagen y multimedia","24","Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",7.48
"161","Audiovisual, imagen y multimedia","22","Profesionales de la enseñanza infantil, primaria, secundaria y postsecundaria",6.92
"162","Audiovisual, imagen y multimedia","35","Representantes, agentes comerciales y afines",6.82
"163","Audiovisual, imagen y multimedia","37","Profesionales de apoyo de servicios jurídicos, sociales, culturales, deportivos y afines",4.21
"164","Audiovisual, imagen y multimedia","43","Otros empleados administrativos sin tareas de atención al público",3.61
"165","Audiovisual, imagen y multimedia","52","Dependientes en tiendas y almacenes",3.3
"166","Audiovisual, imagen y multimedia","27","Profesionales de las tecnologías de la información",2.98
"167","Audiovisual, imagen y multimedia","45","Empleados administrativos con tareas de atención al público no clasificados bajo otros
epígrafes",2.95
"168","Audiovisual, imagen y multimedia","51","Trabajadores asalariados de los servicios de restauración",2.43
"169","Audiovisual, imagen y multimedia","12","Directores de departamentos administrativos y comerciales",2.3
"170","Audiovisual, imagen y multimedia","23","Otros profesionales de la enseñanza",2.29
"171","Audiovisual, imagen y multimedia","44","Empleados de agencias de viajes, recepcionistas y telefonistas; empleados de ventanilla y
afines (excepto taquilleros)",2.29
"172","Audiovisual, imagen y multimedia","11","Miembros del poder ejecutivo y de los cuerpos legislativos; directivos de la administración
pública y organizaciones de interés social; directores ejecutivos",1.61
"173","Audiovisual, imagen y multimedia","54","Vendedores (excepto en tiendas y almacenes)",1.49
"174","Audiovisual, imagen y multimedia","31","Técnicos de las ciencias y de las ingenierías",1.36
"175","Audiovisual, imagen y multimedia","41","Empleados en servicios contables, financieros, y de servicios de apoyo a la producción y al
transporte",1.07
"176","Audiovisual, imagen y multimedia","00","Ocupaciones militares",1.02
"177","Audiovisual, imagen y multimedia","36","Profesionales de apoyo a la gestión administrativa; técnicos de las fuerzas y cuerpos de
seguridad",0.94
"178","Audiovisual, imagen y multimedia","25","Profesionales en derecho",0.75
"179","Audiovisual, imagen y multimedia","94","Recogedores de residuos urbanos, vendedores callejeros y otras ocupaciones elementales en
servicios",0.75
"180","Audiovisual, imagen y multimedia","13","Directores de producción y operaciones",0.7
"181","Audiovisual, imagen y multimedia","98","Peones del transporte, descargadores y reponedores",0.64
"182","Audiovisual, imagen y multimedia","14","Directores y gerentes de empresas de alojamiento, restauración y comercio",0.62
"183","Audiovisual, imagen y multimedia","21","Profesionales de la salud",0.44
"184","Audiovisual, imagen y multimedia","28","Profesionales en ciencias sociales",0.3
"185","Audiovisual, imagen y multimedia","84","Conductores de vehículos para el transporte urbano o por carretera",0.3
"186","Audiovisual, imagen y multimedia","55","Cajeros y taquilleros (excepto bancos)",0.29
"187","Audiovisual, imagen y multimedia","92","Otro personal de limpieza",0.29
"188","Audiovisual, imagen y multimedia","59","Trabajadores de los servicios de protección y seguridad",0.26
"189","Audiovisual, imagen y multimedia","81","Operadores de instalaciones y maquinaria fijas",0.26
"190","Audiovisual, imagen y multimedia","73","Soldadores, chapistas, montadores de estructuras metálicas, herreros, elaboradores de
herramientas y afines",0.24
"191","Audiovisual, imagen y multimedia","71","Trabajadores en obras estructurales de construcción y afines",0.19
"192","Audiovisual, imagen y multimedia","58","Trabajadores de los servicios personales",0.17
"193","Audiovisual, imagen y multimedia","34","Profesionales de apoyo en finanzas y matemáticas",0.16
"194","Audiovisual, imagen y multimedia","56","Trabajadores de los cuidados a las personas en servicios de salud",0.11
"195","Audiovisual, imagen y multimedia","95","Peones agrarios, forestales y de la pesca",0.11
"196","Diseño","24","Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",26.03
"197","Diseño","22","Profesionales de la enseñanza infantil, primaria, secundaria y postsecundaria",10.1
"198","Diseño","37","Profesionales de apoyo de servicios jurídicos, sociales, culturales, deportivos y afines",9.03
"199","Diseño","26","Especialistas en organización de la administración pública y de las empresas y en la
comercialización",7.54
"200","Diseño","13","Directores de producción y operaciones",6.02
"201","Diseño","12","Directores de departamentos administrativos y comerciales",5.77
"202","Diseño","27","Profesionales de las tecnologías de la información",4.68
"203","Diseño","51","Trabajadores asalariados de los servicios de restauración",4.67
"204","Diseño","31","Técnicos de las ciencias y de las ingenierías",3.85
"205","Diseño","54","Vendedores (excepto en tiendas y almacenes)",3.09
"206","Diseño","33","Técnicos sanitarios y profesionales de las terapias alternativas",2.8
"207","Diseño","23","Otros profesionales de la enseñanza",2.48
"208","Diseño","35","Representantes, agentes comerciales y afines",2.25
"209","Diseño","43","Otros empleados administrativos sin tareas de atención al público",2.25
"210","Diseño","72","Trabajadores de acabado de construcciones e instalaciones (excepto electricistas), pintores y
afines",2.25
"211","Diseño","32","Supervisores en ingeniería de minas, de industrias manufactureras y de la construcción",1.72
"212","Diseño","15","Directores y gerentes de otras empresas de servicios no clasificados bajo otros epígrafes",1.6
"213","Diseño","45","Empleados administrativos con tareas de atención al público no clasificados bajo otros
epígrafes",1.37
"214","Diseño","52","Dependientes en tiendas y almacenes",1.37
"215","Diseño","76","Mecánicos de precisión en metales, ceramistas, vidrieros, artesanos y trabajadores de artes
gráficas.",1.12
"216","Bellas artes","24","Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",16.5
"217","Bellas artes","22","Profesionales de la enseñanza infantil, primaria, secundaria y postsecundaria",11.99
"218","Bellas artes","37","Profesionales de apoyo de servicios jurídicos, sociales, culturales, deportivos y afines",10.21
"219","Bellas artes","52","Dependientes en tiendas y almacenes",8.3
"220","Bellas artes","31","Técnicos de las ciencias y de las ingenierías",6.9
"221","Bellas artes","29","Profesionales de la cultura y el espectáculo",5.67
"222","Bellas artes","51","Trabajadores asalariados de los servicios de restauración",5.19
"223","Bellas artes","27","Profesionales de las tecnologías de la información",4.22
"224","Bellas artes","35","Representantes, agentes comerciales y afines",3.88
"225","Bellas artes","38","Técnicos de las tecnologías de la información y las comunicaciones (tic)",3.05
"226","Bellas artes","23","Otros profesionales de la enseñanza",2.97
"227","Bellas artes","32","Supervisores en ingeniería de minas, de industrias manufactureras y de la construcción",1.97
"228","Bellas artes","43","Otros empleados administrativos sin tareas de atención al público",1.85
"229","Bellas artes","26","Especialistas en organización de la administración pública y de las empresas y en la
comercialización",1.34
"230","Bellas artes","76","Mecánicos de precisión en metales, ceramistas, vidrieros, artesanos y trabajadores de artes
gráficas.",1.34
"231","Bellas artes","94","Recogedores de residuos urbanos, vendedores callejeros y otras ocupaciones elementales en
servicios",1.14
"232","Bellas artes","58","Trabajadores de los servicios personales",1.02
"233","Bellas artes","74","Mecánicos y ajustadores de maquinaria",1
"234","Bellas artes","98","Peones del transporte, descargadores y reponedores",1
"235","Bellas artes","81","Operadores de instalaciones y maquinaria fijas",0.92
"236","Bellas artes","93","Ayudantes de preparación de alimentos",0.89
"237","Bellas artes","56","Trabajadores de los cuidados a las personas en servicios de salud",0.88
"238","Bellas artes","72","Trabajadores de acabado de construcciones e instalaciones (excepto electricistas), pintores y
afines",0.79
"239","Bellas artes","14","Directores y gerentes de empresas de alojamiento, restauración y comercio",0.78
"240","Bellas artes","44","Empleados de agencias de viajes, recepcionistas y telefonistas; empleados de ventanilla y
afines (excepto taquilleros)",0.78
"241","Bellas artes","41","Empleados en servicios contables, financieros, y de servicios de apoyo a la producción y al
transporte",0.73
"242","Bellas artes","84","Conductores de vehículos para el transporte urbano o por carretera",0.73
"243","Bellas artes","54","Vendedores (excepto en tiendas y almacenes)",0.59
"244","Bellas artes","78","Trabajadores de la madera, textil, confección, piel, cuero, calzado y otros operarios en oficios",0.46
"245","Bellas artes","21","Profesionales de la salud",0.4
"246","Bellas artes","11","Miembros del poder ejecutivo y de los cuerpos legislativos; directivos de la administración
pública y organizaciones de interés social; directores ejecutivos",0.29
"247","Bellas artes","12","Directores de departamentos administrativos y comerciales",0.29
"248","Bellas artes","42","Empleados de bibliotecas, servicios de correos y afines",0.29
"249","Bellas artes","97","Peones de las industrias manufactureras",0.29
"250","Bellas artes","75","Trabajadores especializados en electricidad y electrotecnología",0.26
"251","Bellas artes","13","Directores de producción y operaciones",0.24
"252","Bellas artes","82","Montadores y ensambladores en fábricas",0.24
"253","Bellas artes","92","Otro personal de limpieza",0.24
"254","Bellas artes","57","Otros trabajadores de los cuidados a las personas",0.21
"255","Bellas artes","00","Ocupaciones militares",0.16
"256","Historia del arte","22","Profesionales de la enseñanza infantil, primaria, secundaria y postsecundaria",14.58
"257","Historia del arte","52","Dependientes en tiendas y almacenes",10.79
"258","Historia del arte","29","Profesionales de la cultura y el espectáculo",8.87
"259","Historia del arte","26","Especialistas en organización de la administración pública y de las empresas y en la
comercialización",7.96
"260","Historia del arte","58","Trabajadores de los servicios personales",7.81
"261","Historia del arte","43","Otros empleados administrativos sin tareas de atención al público",6.32
"262","Historia del arte","44","Empleados de agencias de viajes, recepcionistas y telefonistas; empleados de ventanilla y
afines (excepto taquilleros)",4.1
"263","Historia del arte","45","Empleados administrativos con tareas de atención al público no clasificados bajo otros
epígrafes",3.9
"264","Historia del arte","51","Trabajadores asalariados de los servicios de restauración",3.9
"265","Historia del arte","37","Profesionales de apoyo de servicios jurídicos, sociales, culturales, deportivos y afines",3.86
"266","Historia del arte","41","Empleados en servicios contables, financieros, y de servicios de apoyo a la producción y al
transporte",3.43
"267","Historia del arte","23","Otros profesionales de la enseñanza",3.28
"268","Historia del arte","21","Profesionales de la salud",2.81
"269","Historia del arte","38","Técnicos de las tecnologías de la información y las comunicaciones (tic)",2.33
"270","Historia del arte","28","Profesionales en ciencias sociales",2.25
"271","Historia del arte","24","Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",2.14
"272","Historia del arte","35","Representantes, agentes comerciales y afines",1.68
"273","Historia del arte","14","Directores y gerentes de empresas de alojamiento, restauración y comercio",1.38
"274","Historia del arte","25","Profesionales en derecho",1.38
"275","Historia del arte","94","Recogedores de residuos urbanos, vendedores callejeros y otras ocupaciones elementales en
servicios",1.34
"276","Historia del arte","42","Empleados de bibliotecas, servicios de correos y afines",1.21
"277","Historia del arte","11","Miembros del poder ejecutivo y de los cuerpos legislativos; directivos de la administración
pública y organizaciones de interés social; directores ejecutivos",0.93
"278","Historia del arte","55","Cajeros y taquilleros (excepto bancos)",0.44
"279","Historia del arte","59","Trabajadores de los servicios de protección y seguridad",0.44
"280","Historia del arte","76","Mecánicos de precisión en metales, ceramistas, vidrieros, artesanos y trabajadores de artes
gráficas.",0.44
"281","Historia del arte","12","Directores de departamentos administrativos y comerciales",0.39
"282","Historia del arte","27","Profesionales de las tecnologías de la información",0.39
"283","Historia del arte","57","Otros trabajadores de los cuidados a las personas",0.39
"284","Historia del arte","31","Técnicos de las ciencias y de las ingenierías",0.28
"285","Historia del arte","36","Profesionales de apoyo a la gestión administrativa; técnicos de las fuerzas y cuerpos de
seguridad",0.28
"286","Historia del arte","83","Maquinistas de locomotoras, operadores de maquinaria agrícola y de equipos pesados
móviles, y marineros",0.28
"287","Historia del arte","81","Operadores de instalaciones y maquinaria fijas",0.23
"288","Historia del arte","97","Peones de las industrias manufactureras",0.19
"289","Conservación y restauración","29","Profesionales de la cultura y el espectáculo",46.06
"290","Conservación y restauración","22","Profesionales de la enseñanza infantil, primaria, secundaria y postsecundaria",18.45
"291","Conservación y restauración","37","Profesionales de apoyo de servicios jurídicos, sociales, culturales, deportivos y afines",6.51
"292","Conservación y restauración","23","Otros profesionales de la enseñanza",5.81
"293","Conservación y restauración","84","Conductores de vehículos para el transporte urbano o por carretera",3.29
"294","Conservación y restauración","41","Empleados en servicios contables, financieros, y de servicios de apoyo a la producción y al
transporte",3.06
"295","Conservación y restauración","98","Peones del transporte, descargadores y reponedores",3.06
"296","Conservación y restauración","26","Especialistas en organización de la administración pública y de las empresas y en la
comercialización",2.74
"297","Conservación y restauración","27","Profesionales de las tecnologías de la información",2.74
"298","Conservación y restauración","42","Empleados de bibliotecas, servicios de correos y afines",2.74
"299","Conservación y restauración","71","Trabajadores en obras estructurales de construcción y afines",2.63
"300","Conservación y restauración","11","Miembros del poder ejecutivo y de los cuerpos legislativos; directivos de la administración
pública y organizaciones de interés social; directores ejecutivos",0.96
"301","Conservación y restauración","24","Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",0.96
"302","Conservación y restauración","43","Otros empleados administrativos sin tareas de atención al público",0.96
"303","Música y Artes escénicas","22","Profesionales de la enseñanza infantil, primaria, secundaria y postsecundaria",66.48
"304","Música y Artes escénicas","29","Profesionales de la cultura y el espectáculo",9.03
"305","Música y Artes escénicas","23","Otros profesionales de la enseñanza",5.96
"306","Música y Artes escénicas","51","Trabajadores asalariados de los servicios de restauración",5.53
"307","Música y Artes escénicas","52","Dependientes en tiendas y almacenes",3.09
"308","Música y Artes escénicas","21","Profesionales de la salud",1.85
"309","Música y Artes escénicas","38","Técnicos de las tecnologías de la información y las comunicaciones (tic)",1.71
"310","Música y Artes escénicas","58","Trabajadores de los servicios personales",1.59
"311","Música y Artes escénicas","44","Empleados de agencias de viajes, recepcionistas y telefonistas; empleados de ventanilla y
afines (excepto taquilleros)",1.28
"312","Música y Artes escénicas","27","Profesionales de las tecnologías de la información",0.97
"313","Música y Artes escénicas","13","Directores de producción y operaciones",0.93
"314","Música y Artes escénicas","35","Representantes, agentes comerciales y afines",0.93
"315","Música y Artes escénicas","28","Profesionales en ciencias sociales",0.64
"316","Arqueología","22","Profesionales de la enseñanza infantil, primaria, secundaria y postsecundaria",33.26
"317","Arqueología","28","Profesionales en ciencias sociales",20.39
"318","Arqueología","23","Otros profesionales de la enseñanza",8.97
"319","Arqueología","58","Trabajadores de los servicios personales",8.6
"320","Arqueología","12","Directores de departamentos administrativos y comerciales",5.05
"321","Arqueología","44","Empleados de agencias de viajes, recepcionistas y telefonistas; empleados de ventanilla y
afines (excepto taquilleros)",5.05
"322","Arqueología","77","Trabajadores de la industria de la alimentación, bebidas y tabaco",5.05
"323","Arqueología","59","Trabajadores de los servicios de protección y seguridad",4.3
"324","Arqueología","50","Camareros y cocineros propietarios",3.55
"325","Arqueología","52","Dependientes en tiendas y almacenes",3.55
"326","Arqueología","35","Representantes, agentes comerciales y afines",2.23
"327","Historia","22","Profesionales de la enseñanza infantil, primaria, secundaria y postsecundaria",29.41
"328","Historia","28","Profesionales en ciencias sociales",8.08
"329","Historia","43","Otros empleados administrativos sin tareas de atención al público",6.45
"330","Historia","29","Profesionales de la cultura y el espectáculo",5.95
"331","Historia","23","Otros profesionales de la enseñanza",5.7
"332","Historia","58","Trabajadores de los servicios personales",4.8
"333","Historia","52","Dependientes en tiendas y almacenes",4.22
"334","Historia","24","Profesionales de la ciencias físicas, químicas, matemáticas y de las ingenierías",3.5
"335","Historia","51","Trabajadores asalariados de los servicios de restauración",3.34
"336","Historia","44","Empleados de agencias de viajes, recepcionistas y telefonistas; empleados de ventanilla y
afines (excepto taquilleros)",3.14
"337","Historia","37","Profesionales de apoyo de servicios jurídicos, sociales, culturales, deportivos y afines",3.06
"338","Historia","26","Especialistas en organización de la administración pública y de las empresas y en la
comercialización",2.54
"339","Historia","59","Trabajadores de los servicios de protección y seguridad",1.67
"340","Historia","21","Profesionales de la salud",1.52
"341","Historia","14","Directores y gerentes de empresas de alojamiento, restauración y comercio",1.38
"342","Historia","11","Miembros del poder ejecutivo y de los cuerpos legislativos; directivos de la administración
pública y organizaciones de interés social; directores ejecutivos",1.33
"343","Historia","97","Peones de las industrias manufactureras",1.28
